Year,Month,Day,Category,Material Type,Weight (lbs),Vendor,Date Updated,Cost,Notes,,,,,,,,,,,,,,,,,,
2007,May,,Landfill,L-Landfill,"252,980",,,,,,,,,,,,,,,,,,,,,,
2007,Jun,,Landfill,L-Landfill,"557,180",,,,,,,,,,,,,,,,,,,,,,
2007,Jul,,Landfill,L-Landfill,"191,680",,,,,,,,,,,,,,,,,,,,,,
2007,Aug,,Landfill,L-Landfill,"150,920",,,,,,,,,,,,,,,,,,,,,,
2007,Sep,,Landfill,L-Landfill,"260,360",,,,,,,,,,,,,,,,,,,,,,
2007,Oct,,Landfill,L-Landfill,"272,960",,,,,,,,,,,,,,,,,,,,,,
2007,Nov,,Landfill,L-Landfill,"255,180",,,,,,,,,,,,,,,,,,,,,,
2007,Dec,,Landfill,L-Landfill,"148,380",,,,,,,,,,,,,,,,,,,,,,
2008,Jan,,Recycle,R-Mixed recycling,"36,718",,,,,,,,,,,,,,,,,,,,,,
2008,Feb,,Recycle,R-Mixed recycling,"33,980",,,,,,,,,,,,,,,,,,,,,,
2008,Mar,,Recycle,R-Mixed recycling,"53,860",,,,,,,,,,,,,,,,,,,,,,
2008,Apr,,Recycle,R-Mixed recycling,"57,280",,,,,,,,,,,,,,,,,,,,,,
2008,May,,Recycle,R-Mixed recycling,"65,255",,,,,,,,,,,,,,,,,,,,,,
2008,Jun,,Recycle,R-Mixed recycling,"73,620",,,,,,,,,,,,,,,,,,,,,,
2008,Jul,,Recycle,R-Mixed recycling,"39,440",,,,,,,,,,,,,,,,,,,,,,
2008,Aug,,Recycle,R-Mixed recycling,"45,020",,,,,,,,,,,,,,,,,,,,,,
2008,Sep,,Recycle,R-Mixed recycling,"43,660",,,,,,,,,,,,,,,,,,,,,,
2008,Oct,,Recycle,R-Mixed recycling,"38,600",,,,,,,,,,,,,,,,,,,,,,
2008,Nov,,Recycle,R-Mixed recycling,"39,239",,,,,,,,,,,,,,,,,,,,,,
2008,Dec,,Recycle,R-Mixed recycling,"24,760",,,,,,,,,,,,,,,,,,,,,,
2008,Jan,,Landfill,L-Landfill,"239,020",,,,,,,,,,,,,,,,,,,,,,
2008,Feb,,Landfill,L-Landfill,"261,460",,,,,,,,,,,,,,,,,,,,,,
2008,Mar,,Landfill,L-Landfill,"237,360",,,,,,,,,,,,,,,,,,,,,,
2008,Apr,,Landfill,L-Landfill,"260,220",,,,,,,,,,,,,,,,,,,,,,
2008,May,,Landfill,L-Landfill,"245,320",,,,,,,,,,,,,,,,,,,,,,
2008,Jun,,Landfill,L-Landfill,"358,380",,,,,,,,,,,,,,,,,,,,,,
2008,Jul,,Landfill,L-Landfill,"160,180",,,,,,,,,,,,,,,,,,,,,,
2008,Aug,,Landfill,L-Landfill,"181,260",,,,,,,,,,,,,,,,,,,,,,
2008,Sep,,Landfill,L-Landfill,"209,820",,,,,,,,,,,,,,,,,,,,,,
2008,Oct,,Landfill,L-Landfill,"281,400",,,,,,,,,,,,,,,,,,,,,,
2008,Nov,,Landfill,L-Landfill,"232,620",,,,,,,,,,,,,,,,,,,,,,
2008,Dec,,Landfill,L-Landfill,"205,880",,,,,,,,,,,,,,,,,,,,,,
2009,Jan,,Recycle,R-Mixed recycling,"39,260",,,,,,,,,,,,,,,,,,,,,,
2009,Feb,,Recycle,R-Mixed recycling,"27,200",,,,,,,,,,,,,,,,,,,,,,
2009,Mar,,Recycle,R-Mixed recycling,"1,100",,,,,,,,,,,,,,,,,,,,,,
2009,Apr,,Recycle,R-Mixed recycling,"51,420",,,,,,,,,,,,,,,,,,,,,,
2009,May,,Recycle,R-Mixed recycling,"41,257",,,,,,,,,,,,,,,,,,,,,,
2009,Jun,,Recycle,R-Mixed recycling,"39,608",,,,,,,,,,,,,,,,,,,,,,
2009,Jul,,Recycle,R-Mixed recycling,"46,101",,,,,,,,,,,,,,,,,,,,,,
2009,Aug,,Recycle,R-Mixed recycling,"25,160",,,,,,,,,,,,,,,,,,,,,,
2009,Sep,,Recycle,R-Mixed recycling,"50,815",,,,,,,,,,,,,,,,,,,,,,
2009,Oct,,Recycle,R-Mixed recycling,"69,793",,,,,,,,,,,,,,,,,,,,,,
2009,Nov,,Recycle,R-Mixed recycling,"60,866",,,,,,,,,,,,,,,,,,,,,,
2009,Dec,,Recycle,R-Mixed recycling,"26,937",,,,,,,,,,,,,,,,,,,,,,
2009,Jan,,Landfill,L-Landfill,"231,060",,,,,,,,,,,,,,,,,,,,,,
2009,Feb,,Landfill,L-Landfill,"220,460",,,,,,,,,,,,,,,,,,,,,,
2009,Mar,,Landfill,L-Landfill,"272,260",,,,,,,,,,,,,,,,,,,,,,
2009,Apr,,Landfill,L-Landfill,"226,240",,,,,,,,,,,,,,,,,,,,,,
2009,May,,Landfill,L-Landfill,"231,540",,,,,,,,,,,,,,,,,,,,,,
2009,Jun,,Landfill,L-Landfill,"281,260",,,,,,,,,,,,,,,,,,,,,,
2009,Jul,,Landfill,L-Landfill,"142,520",,,,,,,,,,,,,,,,,,,,,,
2009,Aug,,Landfill,L-Landfill,"150,320",,,,,,,,,,,,,,,,,,,,,,
2009,Sep,,Landfill,L-Landfill,"173,880",,,,,,,,,,,,,,,,,,,,,,
2009,Oct,,Landfill,L-Landfill,"224,960",,,,,,,,,,,,,,,,,,,,,,
2009,Nov,,Landfill,L-Landfill,"164,440",,,,,,,,,,,,,,,,,,,,,,
2009,Dec,,Landfill,L-Landfill,"156,420",,,,,,,,,,,,,,,,,,,,,,
2010,Jan,,Recycle,R-Mixed recycling,"37,977",,,,,,,,,,,,,,,,,,,,,,
2010,Feb,,Recycle,R-Mixed recycling,"59,046",,,,,,,,,,,,,,,,,,,,,,
2010,Mar,,Recycle,R-Mixed recycling,"67,465",,,,,,,,,,,,,,,,,,,,,,
2010,Apr,,Recycle,R-Mixed recycling,"38,185",,,,,,,,,,,,,,,,,,,,,,
2010,May,,Recycle,R-Mixed recycling,"61,349",,,,,,,,,,,,,,,,,,,,,,
2010,Jun,,Recycle,R-Mixed recycling,"71,076",,,,,,,,,,,,,,,,,,,,,,
2010,Jul,,Recycle,R-Mixed recycling,"32,651",,,,,,,,,,,,,,,,,,,,,,
2010,Aug,,Recycle,R-Mixed recycling,"37,472",,,,,,,,,,,,,,,,,,,,,,
2010,Sep,,Recycle,R-Mixed recycling,"69,899",,,,,,,,,,,,,,,,,,,,,,
2010,Oct,,Recycle,R-Mixed recycling,"58,664",,,,,,,,,,,,,,,,,,,,,,
2010,Nov,,Recycle,R-Mixed recycling,"37,228",,,,,,,,,,,,,,,,,,,,,,
2010,Dec,,Recycle,R-Mixed recycling,"34,471",,,,,,,,,,,,,,,,,,,,,,
2010,Jan,,Compost,C-Organics,0,,,,,,,,,,,,,,,,,,,,,,
2010,Feb,,Compost,C-Organics,0,,,,,,,,,,,,,,,,,,,,,,
2010,Mar,,Compost,C-Organics,"25,756",,,,,,,,,,,,,,,,,,,,,,
2010,Apr,,Compost,C-Organics,0,,,,,,,,,,,,,,,,,,,,,,
2010,May,,Compost,C-Organics,"16,720",,,,,,,,,,,,,,,,,,,,,,
2010,Jun,,Compost,C-Organics,"10,812",,,,,,,,,,,,,,,,,,,,,,
2010,Jul,,Compost,C-Organics,"7,524",,,,,,,,,,,,,,,,,,,,,,
2010,Aug,,Compost,C-Organics,"11,514",,,,,,,,,,,,,,,,,,,,,,
2010,Sep,,Compost,C-Organics,"2,622",,,,,,,,,,,,,,,,,,,,,,
2010,Oct,,Compost,C-Organics,"5,472",,,,,,,,,,,,,,,,,,,,,,
2010,Nov,,Compost,C-Organics,"8,208",,,,,,,,,,,,,,,,,,,,,,
2010,Dec,,Compost,C-Organics,"27,360",,,,,,,,,,,,,,,,,,,,,,
2010,Jan,,Landfill,L-Landfill,"211,808",,,,,,,,,,,,,,,,,,,,,,
2010,Feb,,Landfill,L-Landfill,"214,949",,,,,,,,,,,,,,,,,,,,,,
2010,Mar,,Landfill,L-Landfill,"180,020",,,,,,,,,,,,,,,,,,,,,,
2010,Apr,,Landfill,L-Landfill,"196,860",,,,,,,,,,,,,,,,,,,,,,
2010,May,,Landfill,L-Landfill,"181,180",,,,,,,,,,,,,,,,,,,,,,
2010,Jun,,Landfill,L-Landfill,"314,359",,,,,,,,,,,,,,,,,,,,,,
2010,Jul,,Landfill,L-Landfill,"133,216",,,,,,,,,,,,,,,,,,,,,,
2010,Aug,,Landfill,L-Landfill,"185,086",,,,,,,,,,,,,,,,,,,,,,
2010,Sep,,Landfill,L-Landfill,"190,725",,,,,,,,,,,,,,,,,,,,,,
2010,Oct,,Landfill,L-Landfill,"259,448",,,,,,,,,,,,,,,,,,,,,,
2010,Nov,,Landfill,L-Landfill,"210,320",,,,,,,,,,,,,,,,,,,,,,
2010,Dec,,Landfill,L-Landfill,"200,712",,,,,,,,,,,,,,,,,,,,,,
2011,Jan,,Recycle,R-Mixed recycling,"45,054",,,,,,,,,,,,,,,,,,,,,,
2011,Feb,,Recycle,R-Mixed recycling,"48,462",,,,,,,,,,,,,,,,,,,,,,
2011,Mar,,Recycle,R-Mixed recycling,"45,994",,,,,,,,,,,,,,,,,,,,,,
2011,Apr,,Recycle,R-Mixed recycling,"52,843",,,,,,,,,,,,,,,,,,,,,,
2011,May,,Recycle,R-Mixed recycling,"57,642",,,,,,,,,,,,,,,,,,,,,,
2011,Jun,,Recycle,R-Mixed recycling,"96,892",,,,,,,,,,,,,,,,,,,,,,
2011,Jul,,Recycle,R-Mixed recycling,"44,441",,,,,,,,,,,,,,,,,,,,,,
2011,Aug,,Recycle,R-Mixed recycling,"88,223",,,,,,,,,,,,,,,,,,,,,,
2011,Sep,,Recycle,R-Mixed recycling,"72,444",,,,,,,,,,,,,,,,,,,,,,
2011,Oct,,Recycle,R-Mixed recycling,"50,949",,,,,,,,,,,,,,,,,,,,,,
2011,Nov,,Recycle,R-Mixed recycling,"31,327",,,,,,,,,,,,,,,,,,,,,,
2011,Dec,,Recycle,R-Mixed recycling,"15,966",,,,,,,,,,,,,,,,,,,,,,
2011,Jan,,Compost,C-Organics,0,,,,,,,,,,,,,,,,,,,,,,
2011,Feb,,Compost,C-Organics,"2,730",,,,,,,,,,,,,,,,,,,,,,
2011,Mar,,Compost,C-Organics,"8,208",,,,,,,,,,,,,,,,,,,,,,
2011,Apr,,Compost,C-Organics,"6,496",,,,,,,,,,,,,,,,,,,,,,
